,Name,City,Portfolio Manager,Trustee,Supervisory organisation
520,Findependent AG,Lenzburg,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
521,FINDLING GREY AG,Opfikon,X,,FINcontrol Suisse AG
522,Finecapital AG,Bern,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
523,Fingroup Financial Management & Consulting SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
524,Finiens Wealth Management AG,Wollerau,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
525,Finimex SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
526,Fininvesta Sàrl,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
527,Finnat Gestioni SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
528,Finpact AG,St. Gallen,X,,FINcontrol Suisse AG
529,Finpartner financial services SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
530,Finpromotion Société de Promotion Financière SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
531,FINSIGHT SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
532,FIO Partners AG,Pfäffikon SZ,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
533,Firecrest Capital Corporation AG,Zürich,,X,OSFIN Organisation de surveillance financière
534,Firminvest AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
535,First Alliance Trust & Advisory AG,Zürich,,X,FINcontrol Suisse AG
536,First Trust Services AG,Zürich,,X,FINcontrol Suisse AG
537,FISC-Center GmbH,Biel/Bienne,X,,FINcontrol Suisse AG
538,FiveT Capital AG,Pfäffikon SZ,X,,FINcontrol Suisse AG
539,Flagship Investments AG,Pfäffikon SZ,X,,OSFIN Organisation de surveillance financière
540,Florentina AG,Rheineck,X,,FINcontrol Suisse AG
541,Florian & Partners AG,Crans-Montana,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
542,FLORNOY & Associés Gestion Genève SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
543,Fontaris AG,Bern,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
544,forClients Partner AG,Schaffhausen,X,,FINcontrol Suisse AG
545,FormInvest AG,Zürich,X,,FINcontrol Suisse AG
546,Fortitude Wealth Management SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
547,Forum Capital Management AG,Solothurn,X,,FINcontrol Suisse AG
548,Forvest SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
549,Forward Capital SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
550,FOS4U SA,Lugano,X,,OSFIN Organisation de surveillance financière
551,Founderful AG,Zürich,X,,FINcontrol Suisse AG
552,Four Thousand AG,Cham,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
553,FP Asset Management AG,Baar,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
554,FP WEALTH SOLUTIONS SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
555,FRAME ASSET MANAGEMENT SA,Lugano,X,,OSFIN Organisation de surveillance financière
556,Franklin Watson Investments AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
557,Franz Moser Consulting,Sursee,X,,FINcontrol Suisse AG
558,Frominvest AG,Küsnacht ZH,X,,FINcontrol Suisse AG
559,Frumos Asset Management AG,Lachen SZ,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
560,Frydenholm Invest AG,Zürich,X,,FINcontrol Suisse AG
561,FS Finance Suisse AG,Zürich,X,,OSFIN Organisation de surveillance financière
562,Fuchs & Langen AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
563,Future Wealth Group AG,Wollerau,X,,FINcontrol Suisse AG
564,Futurum Vermögensverwaltung AG,Au SG,X,,FINcontrol Suisse AG
565,FX Prime AG,Wollerau,X,,FINcontrol Suisse AG
566,FYDUCIA SA,Lugano,X,,OSFIN Organisation de surveillance financière
567,G&M Zen AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
568,G7NESIS Asset Management AG,Zürich,X,,OSFIN Organisation de surveillance financière
569,"GADD & Cie SA, Luxembourg, succursale de Meyrin/Genève",Genève 15 Aéroport,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
570,Gailloud Asset Management AG,Zürich,X,,FINcontrol Suisse AG
571,Galapagos Advisory SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
572,GAMSA S.A.,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
573,"Gap, gestion active et personnalisée SA",Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
574,Gasser Finanzplanung,Bern,X,,FINcontrol Suisse AG
575,Gasser Vermögensverwaltung AG,Erlenbach ZH,X,,OSFIN Organisation de surveillance financière
576,Gautschi Invest-Verwaltung AG,Meisterschwanden,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
577,GB GestionBâle SA,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
578,Gefion Capital AG,Zürich,X,,OSFIN Organisation de surveillance financière
579,Gehring Asset Management AG,Schaffhausen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
580,Geisselhardt Finanzberatung AG,Ermatingen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
581,Genesis Investment Partners AG,Zürich,X,,FINcontrol Suisse AG
582,Geneva Trust Company (GTC) SA,Genève 12,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
583,Genève Invest Sàrl,Genève,X,,OSFIN Organisation de surveillance financière
584,Genin & Cie,Vouvry,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
585,GENVIL Wealth management and Consulting SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
586,Geomac AG,Thalwil,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
587,Gepolis S.A.,Lausanne,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
588,Geremant SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
589,Gestion de Patrimoine du Rhône SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
590,Gestioni Patrimoniali Elia SA,Manno,X,,OSFIN Organisation de surveillance financière
591,GESTOFIN Sàrl,Le Mont-sur-Lausanne,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
592,GESTRUST SA,Genève,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
593,GF Invest AG,Glarus,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
594,GFA Gesellschaft für Anlageberatung AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
595,GFG Groupe Financier de Gestion SA,Lausanne,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
596,GFO Portfolio Management & Consulting AG,Zürich,X,,FINcontrol Suisse AG
597,GGd Patrimoines Privés SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
598,Gigant Swiss Consulting AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
599,Giger Investment & Finanz AG,Bäretswil,X,,FINcontrol Suisse AG
