,Name,City,Portfolio Manager,Trustee,Supervisory organisation
1244,Stratesys SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1245,Studio Commerciale Ottaviani,Lugano,X,,OSFIN Organisation de surveillance financière
1246,Stutz & Buschle AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1247,Styger & Partner AG,Alpnach Dorf,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1248,suissefin Asset Management GmbH,Schindellegi,X,,OSFIN Organisation de surveillance financière
1249,Suiza Fidelis SA,Chavannes-de-Bogis,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1250,Summit Trust International SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1251,SUNPARTNERS SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1252,Suntrust Investment Company SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1253,Suntrustee SA,Lugano,,X,OSFIN Organisation de surveillance financière
1254,SURECO Investments SA,Gland,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1255,Survista Financial Advisors AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1256,Sussland & Co SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1257,SVTG Strategische Vermögenstreuhand AG,Zürich,X,,OSFIN Organisation de surveillance financière
1258,SwAM Swiss Asset Management AG,Schaffhausen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1259,Swinvest SA,Fribourg,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1260,Swise AG,Zürich,X,,FINcontrol Suisse AG
1261,Swiss Bridge Capital SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1262,Swiss Capital AG,Teufen AR,X,,OSFIN Organisation de surveillance financière
1263,Swiss Capital Guard & Trustees SA,Lausanne,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1264,SWISS CAPITAL IB SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1265,Swiss Capital Wealth Management AG,Zürich,X,,FINcontrol Suisse AG
1266,Swiss Crypto Advisors SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1267,Swiss Finance Boutique AG,Chur,X,,OSFIN Organisation de surveillance financière
1268,Swiss Finance Management International SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1269,Swiss Financial Partners SA,Le Grand-Saconnex,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1270,Swiss Harvest Asset Management AG,Wollerau,X,,OSFIN Organisation de surveillance financière
1271,Swiss Independent Consulting GmbH,Neerach,X,,OSFIN Organisation de surveillance financière
1272,Swiss Invest AG Asset Management,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1273,Swiss Life Wealth Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1274,Swiss Portfolio Management AG,Zürich,X,,OSFIN Organisation de surveillance financière
1275,Swiss PWM AG,Zürich,X,,FINcontrol Suisse AG
1276,Swiss Symphony Wealth Advisor & Private Office SA,Sion,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1277,Swiss Three Asset Management GmbH,Horgen,X,,FINcontrol Suisse AG
1278,Swiss Trust AG,Zürich,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1279,Swisschange Financial Services AG,Basel,X,,FINcontrol Suisse AG
1280,SwissDirekt AG,Zug,X,,OSFIN Organisation de surveillance financière
1281,Swissential SA,Nyon,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1282,SWISSGEST SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1283,SwissGlobal Private Wealth AG,Wollerau,X,,FINcontrol Suisse AG
1284,SwissIndependent Trustees SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1285,swisspartners Advisors AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1286,swisspartners AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1287,Swisspath Capital AG,Zürich,X,,OSFIN Organisation de surveillance financière
1288,SWIX Family Office SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1289,Synergy Asset Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1290,SZ & Partners SA,Paradiso,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1291,SZ Consulting AG,Brig,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1292,T + M Management Services SA,Genève,X,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1293,T&T International Wealth Management AG,Rotkreuz,X,,FINcontrol Suisse AG
1294,Talharim SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1295,Tambe AG,Pfäffikon SZ,,X,OSFIN Organisation de surveillance financière
1296,Taranis SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1297,Targa 5 Advisors SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1298,TASK Wealth Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1299,Taurus Asset Management SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1300,Tax Lex Trustee SA,Neuchâtel,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1301,TBH Global Family Office SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1302,TCOZH Trustee Services GmbH,Zürich,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1303,Tectron AG Vermögensverwaltung,Seon,X,,FINcontrol Suisse AG
1304,Tell & Partner AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1305,Telomere Capital SA,Carouge GE,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1306,TEMPSTONE CAPITAL SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1307,Ten Edges Capital SA,Choulex,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1308,TENDERCAPITAL (Suisse) SA,Lugano,X,,OSFIN Organisation de surveillance financière
1309,tendex AG,Zürich,X,,FINcontrol Suisse AG
1310,Tenity Group AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1311,Tenuta GmbH,Zürich,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1312,Terra Financial & Management Services SA,Fribourg,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1313,Terreus Capital AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1314,TFO The Family Office AG,Bern,X,,OSFIN Organisation de surveillance financière
1315,T-Globe Trustee Ltd.,Zürich,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1316,Thalopat AG,Ermatingen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1317,THE HOUSE OF TRUST SA,Genève,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1318,THE MATHILDE TRUST COMPANY SA,Genève,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1319,The Niche SA,Lugano,X,,OSFIN Organisation de surveillance financière
1320,The Wealth Office AG,Zürich,X,,OSFIN Organisation de surveillance financière
1321,THETA Finance AG,Zürich,X,,OSFIN Organisation de surveillance financière
1322,Thomas G. Hangartner Vermögensverwaltung,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1323,Thriving Finance SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1324,TimberMan Asset Management AG,Bäch SZ,X,,OSFIN Organisation de surveillance financière
1325,Titans Consulting AG,Zürich,X,,FINcontrol Suisse AG
1326,TM Beratungen GmbH,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1327,torck capital management AG,Zürich,X,,FINcontrol Suisse AG
1328,TOS AG,Bern,,X,OSFIN Organisation de surveillance financière
1329,Trafida SA,Lugano,X,,OSFIN Organisation de surveillance financière
1330,Trajectoire Capital Group SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1331,Transalp Services SA,Châtelaine,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1332,Treuco AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1333,Trianon Family Office AG,Baar,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1334,Triatlum Advisors AG,Wollerau,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1335,Triaxis AG,Zürich,X,,FINcontrol Suisse AG
1336,Triaxis US Advisors AG,Zürich,X,,FINcontrol Suisse AG
1337,Trident Trust (Switzerland) AG,Zürich,,X,OSFIN Organisation de surveillance financière
1338,Trifolium Karcher + Partner,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1339,Trigon Family Office AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1340,Trion Invest AG,Bern,X,,OSFIN Organisation de surveillance financière
1341,Trireme Finance SA,Holzhäusern ZG,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1342,TRIUS Partners AG,Zug,X,,FINcontrol Suisse AG
1343,True Magma AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1344,Trufid GmbH,Teufen AR,X,,FINcontrol Suisse AG
1345,Trumag International AG,Basel,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1346,Trusted Advisors Wealth Management AG,Küsnacht ZH,X,,FINcontrol Suisse AG
1347,Trustena GmbH,Zürich,,X,FINcontrol Suisse AG
1348,TrustQore (Switzerland) SA,Genève,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1349,Tumagest SA,Chiasso,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1350,Tune Capital AG,Zug,X,,OSFIN Organisation de surveillance financière
1351,Turcapital AG,Zug,X,,OSFIN Organisation de surveillance financière
1352,Turicum Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1353,Turicum Investment Management AG,Baar,X,,OSFIN Organisation de surveillance financière
1354,Turigum Family Office AG,Zürich,X,,FINcontrol Suisse AG
1355,TVR Treuhand AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1356,Twenty20 Trustees SA,Genève,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1357,UCAP Wealth Management Switzerland AG,Zürich,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1358,UMA Swiss AG,Zürich,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1359,Unifortune Asset Management SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1360,UNIQ CAPITAL SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1361,Uniq Investments SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1362,Univest AG,Basel,X,,FINcontrol Suisse AG
1363,UPTOVALUE ASSET MANAGEMENT SA,Mesocco,X,,OSFIN Organisation de surveillance financière
1364,Urban Advisors SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1365,UTS United Trading Service AG,Zürich,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1366,V&G Trustee SA,Lugano,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1367,"V.L. & ASSOCIES, GERANCE DE FORTUNES SA",Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1368,Val Rheno GmbH,Chur,X,,FINcontrol Suisse AG
1369,VALAZZA Planification & Gérance de Patrimoines,Lutry,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1370,Valcoris & Partners - Gestion de Patrimoine SA,Sion,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1371,Valère Consulting AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1372,VALEX EMC FAMILY OFFICE SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1373,Valgreen Advisors AG,Hergiswil NW,X,,FINcontrol Suisse AG
1374,Valoram SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1375,Valoris Gestion SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1376,Valterna AG,Baar,X,,FINcontrol Suisse AG
1377,Valuestream Investments SA,Chiasso,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1378,Van Marselis Hartsinck AG,Hergiswil NW,X,,OSFIN Organisation de surveillance financière
1379,VCI Asset Management SA,Lugano,X,,OSFIN Organisation de surveillance financière
1380,VCT Vector Gestion SA,Nyon,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1381,Veco Invest SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1382,Vectis Vermögensverwaltung AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1383,VECTOR WEALTH MANAGEMENT SA,Lugano,X,,OSFIN Organisation de surveillance financière
1384,Vedra Wealth Services SA,Lausanne,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1385,Vega Private Wealth Management AG,Zürich,X,,OSFIN Organisation de surveillance financière
1386,Ventira Private Wealth Management AG,Zürich,X,,OSFIN Organisation de surveillance financière
1387,Verardi & Partner Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1388,VermögensPartner AG,Zürich,X,,FINcontrol Suisse AG
1389,VertexA AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1390,VIALA AG,Basel,X,,FINcontrol Suisse AG
1391,Victoria Peak Capital AG,Rüschlikon,X,,FINcontrol Suisse AG
1392,Vierny Partners SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1393,Vinga / Christian Järsvall Financial Consulting,Zollikon,X,,FINcontrol Suisse AG
1394,VIP Asset Management SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1395,VIRIUM Investimenti SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1396,Vision Asset Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1397,Vivainvest AG,Meilen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1398,Vock Wealth Management AG,Bad Zurzach,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1399,Vögeli Vermögensverwaltung AG,Bottmingen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1400,Vomag Finanz AG,Baden,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1401,von Moos Vermögensberatung AG,Zürich,X,,FINcontrol Suisse AG
1402,VT KAP AG,Sarnen,X,,FINcontrol Suisse AG
1403,VT Wealth Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1404,VULCAN ASSETS MANAGEMENT SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1405,W & P Family Office AG,Küsnacht ZH,X,,OSFIN Organisation de surveillance financière
1406,W.I.S.E. Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1407,Walens AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1408,Walker von Graffenried Asset Management AG,Zürich,X,,OSFIN Organisation de surveillance financière
1409,Walter & Partner AG,Chur,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1410,Wälti & Partner Vermögensverwaltungs AG,Küsnacht ZH,X,,OSFIN Organisation de surveillance financière
1411,Waltisberg Unternährer Keller Vermögensmanagement AG,Luzern,X,,FINcontrol Suisse AG
1412,Wealth Coordinators AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1413,Wealth Management Group AG,Niederteufen,X,,FINcontrol Suisse AG
1414,Wealth Management Partners (Switzerland) AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1415,Wealth-at-Risk Sàrl,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1416,Wealtheon S.A. (Switzerland),Genève 4,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1417,Wealthguard Asset Management AG,Zürich,X,,FINcontrol Suisse AG
1418,Weber & Frey Family Office AG,Zürich,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1419,Weber Hartmann Vrijhof & Partners AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1420,Wedge Associates SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1421,Wehama Finanz AG,Hurden,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1422,Weibel Hess & Partner AG,Luzern,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1423,Weissenstein & Partner AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1424,Wendelspiess Partners AG,Zürich,X,,FINcontrol Suisse AG
1425,Wenzinger & Tschan Finanz AG,Affoltern am Albis,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1426,WFM & Partners SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1427,White Lighthouse Investment Management Sàrl,Lausanne,X,,OSFIN Organisation de surveillance financière
1428,WHITE OAK ASSET MANAGEMENT SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1429,Wibagest SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1430,Winterthur Consulting Group AG,Winterthur,X,,OSFIN Organisation de surveillance financière
1431,WIP Finance SA,Paradiso,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1432,WITOBE AG,Sarnen,X,,FINcontrol Suisse AG
1433,WM Capital SA,Genève,X,,OSFIN Organisation de surveillance financière
1434,WOODSTONE CAPITAL SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1435,Wullschleger Martinenghi Manzini Gestioni Patrimoniali SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1436,Wullschleger Martinenghi Manzini Trust Services SA,Lugano,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1437,X. QUARTENOUD CLASSIGEST,Châtel-St-Denis,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1438,Xenia Capital SA,Lausanne,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1439,YAD Capital AG,Zürich,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1440,Your Wealth AG,Zollikon,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1441,Z Impact Ventures SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
1442,Zacharias AG,Zürich,X,,FINcontrol Suisse AG
1443,Zantke Asset Management Schweiz AG,Zürich,X,,FINcontrol Suisse AG
1444,Zeltner & Co. GmbH,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1445,Zemp & Partner Vermögensberatungen AG,Baar,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1446,Zeno SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
1447,Zentilleon AG,Baar,X,,FINcontrol Suisse AG
1448,ZINGG FINANCE S.A.,Lausanne,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1449,Zürcher Balmelli & Partners SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1450,Zuri-Invest AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1451,Zürisee Investment Partners AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
1452,,,,,
1453,Total number of portfolio managers and trustees licensed by FINMA and monitored by a supervisory organisation: 1449,,,,
